,id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
13684,392181,2,19,3,Joginder Sharma,MS Dhoni,SL Malinga,1,0,1,0,0,,,,,Chennai Super Kings,Mumbai Indians
147583,1082638,2,13,1,S Dhawan,Yuvraj Singh,MJ McClenaghan,1,0,1,0,0,,,,,Sunrisers Hyderabad,Mumbai Indians
116661,829773,2,12,6,DJ Bravo,P Negi,A Ashish Reddy,1,0,1,0,0,,,,,Chennai Super Kings,Sunrisers Hyderabad
161139,1136606,2,5,3,SR Watson,AT Rayudu,Shakib Al Hasan,1,0,1,0,0,,,,,Chennai Super Kings,Sunrisers Hyderabad
3,335982,1,7,2,BB McCullum,RT Ponting,Z Khan,1,0,1,0,0,,,,,Kolkata Knight Riders,Royal Challengers Bangalore
183178,1216509,1,13,2,AT Rayudu,F du Plessis,R Ashwin,0,0,0,0,0,,,,,Chennai Super Kings,Delhi Capitals
61251,548317,2,8,5,OA Shah,AM Rahane,Harbhajan Singh,2,0,2,0,0,,,,,Rajasthan Royals,Mumbai Indians
122945,980905,1,2,5,M Vijay,M Vohra,P Kumar,4,0,4,0,0,,,,,Kings XI Punjab,Gujarat Lions
8318,336017,1,2,6,Salman Butt,A Chopra,GD McGrath,0,0,0,0,0,,,,,Kolkata Knight Riders,Delhi Daredevils
148210,1082641,1,9,7,WP Saha,GJ Maxwell,SL Malinga,1,0,1,0,0,,,,,Kings XI Punjab,Mumbai Indians
117270,829779,1,8,5,SK Raina,F du Plessis,Iqbal Abdulla,4,0,4,0,0,,,,,Chennai Super Kings,Royal Challengers Bangalore
15378,392190,2,8,3,LR Shukla,BJ Hodge,SK Warne,2,0,2,0,0,,,,,Kolkata Knight Riders,Rajasthan Royals
95707,729289,2,0,5,M Vijay,MA Agarwal,R Vinay Kumar,0,0,0,0,1,run out,M Vijay,MK Pandey,,Delhi Daredevils,Kolkata Knight Riders
178624,1181767,1,19,1,TA Boult,A Mishra,RA Jadeja,0,0,0,0,0,,,,,Delhi Capitals,Chennai Super Kings
50457,501236,2,2,1,S Dhawan,S Sohal,JA Morkel,1,0,1,0,0,,,,,Deccan Chargers,Chennai Super Kings
87979,598046,2,1,3,MEK Hussey,M Vijay,P Suyal,1,0,1,0,0,,,,,Chennai Super Kings,Mumbai Indians
62137,548321,2,14,3,IK Pathan,KP Pietersen,DW Steyn,0,0,0,0,0,,,,,Delhi Daredevils,Deccan Chargers
172253,1178407,1,7,3,MA Agarwal,KL Rahul,S Gopal,4,0,4,0,0,,,,,Kings XI Punjab,Rajasthan Royals
187564,1216527,1,1,4,MA Agarwal,KL Rahul,AS Rajpoot,0,0,0,0,0,,,,,Kings XI Punjab,Rajasthan Royals
122106,829821,2,13,5,MEK Hussey,MS Dhoni,YS Chahal,1,0,1,0,0,,,,,Chennai Super Kings,Royal Challengers Bangalore
136271,981017,2,11,5,BCJ Cutting,DA Warner,DJ Bravo,0,0,0,0,0,,,,,Sunrisers Hyderabad,Gujarat Lions
123010,980905,2,12,4,RA Jadeja,KD Karthik,MM Sharma,2,0,2,0,0,,,,,Gujarat Lions,Kings XI Punjab
111673,829727,2,15,2,STR Binny,AM Rahane,A Ashish Reddy,0,0,0,0,0,,,,,Rajasthan Royals,Sunrisers Hyderabad
186179,1216522,2,13,2,AB de Villiers,Gurkeerat Singh,Kartik Tyagi,0,0,0,0,0,,,,,Royal Challengers Bangalore,Rajasthan Royals
34983,419138,1,6,5,SS Tiwary,SR Tendulkar,PP Ojha,0,0,0,0,0,,,,,Mumbai Indians,Deccan Chargers
20870,392214,1,6,2,ML Hayden,SK Raina,K Goel,1,0,1,0,0,,,,,Chennai Super Kings,Kings XI Punjab
59871,548311,1,15,1,RA Jadeja,DJ Bravo,DT Christian,1,0,1,0,0,,,,,Chennai Super Kings,Deccan Chargers
16183,392195,2,10,4,SK Warne,RA Jadeja,PP Chawla,1,0,1,0,0,,,,,Rajasthan Royals,Kings XI Punjab
170889,1178401,2,7,4,RR Pant,S Dhawan,PP Chawla,1,0,1,0,0,,,,,Delhi Capitals,Kolkata Knight Riders
119882,829799,2,2,3,M Vijay,M Vohra,B Kumar,0,0,0,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
71194,548360,1,13,3,KD Karthik,AT Rayudu,HV Patel,2,0,2,0,0,,,,,Mumbai Indians,Royal Challengers Bangalore
185206,1216517,2,14,3,KL Rahul,DJ Hooda,KH Pandya,0,0,0,0,0,,,,,Kings XI Punjab,Mumbai Indians
128185,980949,1,7,6,SPD Smith,AM Rahane,S Kaushik,1,0,1,0,0,,,,,Rising Pune Supergiants,Gujarat Lions
183738,1216511,2,5,2,MK Lomror,JC Buttler,JL Pattinson,4,0,4,0,0,,,,,Rajasthan Royals,Mumbai Indians
113501,829743,1,17,3,NV Ojha,S Dhawan,UT Yadav,0,0,0,0,0,,,,,Sunrisers Hyderabad,Kolkata Knight Riders
166944,1175365,1,9,6,AD Russell,KD Karthik,S Lamichhane,0,0,0,0,0,,,,,Kolkata Knight Riders,Delhi Capitals
178077,1181764,1,10,1,AT Rayudu,M Vijay,SL Malinga,0,1,1,0,0,,,,wides,Chennai Super Kings,Mumbai Indians
59840,548311,2,9,1,CL White,PA Patel,DJ Bravo,0,0,0,0,0,,,,,Deccan Chargers,Chennai Super Kings
83404,598027,1,1,5,CH Gayle,TM Dilshan,IC Pandey,4,0,4,0,0,,,,,Royal Challengers Bangalore,Pune Warriors
51249,501239,1,14,6,YK Pathan,MK Tiwary,A Mishra,6,0,6,0,0,,,,,Kolkata Knight Riders,Deccan Chargers
56873,501264,1,17,4,CL White,S Dhawan,BA Bhatt,1,0,1,0,0,,,,,Deccan Chargers,Kings XI Punjab
46977,501221,2,3,6,SK Raina,MEK Hussey,MM Patel,0,0,0,0,0,,,,,Chennai Super Kings,Mumbai Indians
153409,1136574,2,13,1,V Kohli,SN Khan,M Markande,6,0,6,0,0,,,,,Royal Challengers Bangalore,Mumbai Indians
185068,1216517,1,5,3,Q de Kock,KH Pandya,Arshdeep Singh,0,0,0,0,0,,,,,Mumbai Indians,Kings XI Punjab
109862,829713,1,19,7,AD Russell,PP Chawla,VR Aaron,4,0,4,0,0,,,,,Kolkata Knight Riders,Royal Challengers Bangalore
192858,1237178,1,14,4,AB de Villiers,S Dube,Rashid Khan,4,0,4,0,0,,,,,Royal Challengers Bangalore,Sunrisers Hyderabad
139024,1082601,2,15,2,MK Pandey,G Gambhir,Sandeep Sharma,1,0,1,0,0,,,,,Kolkata Knight Riders,Kings XI Punjab
79287,598010,2,18,3,DW Steyn,A Mishra,UT Yadav,0,0,0,0,0,,,,,Sunrisers Hyderabad,Delhi Daredevils
77107,598001,2,3,4,DA Warner,UBT Chand,S Sreesanth,0,0,0,0,0,,,,,Delhi Daredevils,Rajasthan Royals
11556,336032,2,17,1,KD Karthik,MF Maharoof,ST Jayasuriya,1,0,1,0,0,,,,,Delhi Daredevils,Mumbai Indians
60710,548315,2,7,1,AB de Villiers,SS Tiwary,L Balaji,2,0,2,0,0,,,,,Royal Challengers Bangalore,Kolkata Knight Riders
39980,419159,1,19,1,IK Pathan,SE Marsh,JA Morkel,2,0,2,0,0,,,,,Kings XI Punjab,Chennai Super Kings
61468,548318,1,4,4,MA Agarwal,CH Gayle,R Ashwin,0,0,0,0,0,,,,,Royal Challengers Bangalore,Chennai Super Kings
152764,1136571,1,5,4,AM Rahane,DJM Short,CR Woakes,0,0,0,0,1,caught,AM Rahane,UT Yadav,,Rajasthan Royals,Royal Challengers Bangalore
80943,598017,1,6,6,DPMD Jayawardene,MC Juneja,AB McDonald,0,0,0,0,0,,,,,Delhi Daredevils,Royal Challengers Bangalore
192394,1216547,2,19,1,Ishan Kishan,KA Pollard,I Udana,1,0,1,0,0,,,,,Mumbai Indians,Royal Challengers Bangalore
169962,1178397,2,15,2,KL Rahul,MA Agarwal,B Kumar,1,0,1,0,0,,,,,Kings XI Punjab,Sunrisers Hyderabad
137378,1082594,1,16,3,MK Tiwary,BA Stokes,MM Sharma,1,0,1,0,0,,,,,Rising Pune Supergiant,Kings XI Punjab
157377,1136590,1,12,3,AT Rayudu,SR Watson,V Shankar,4,0,4,0,0,,,,,Chennai Super Kings,Delhi Daredevils
91385,598060,1,12,5,S Dhawan,GH Vihari,MG Johnson,0,0,0,0,1,caught,S Dhawan,KD Karthik,,Sunrisers Hyderabad,Mumbai Indians
116203,829769,1,0,6,PA Patel,LMP Simmons,TG Southee,0,0,0,0,0,,,,,Mumbai Indians,Rajasthan Royals
162217,1136611,2,2,3,AD Hales,S Dhawan,UT Yadav,0,0,0,0,0,,,,,Sunrisers Hyderabad,Royal Challengers Bangalore
117983,829785,1,6,6,CH Gayle,V Kohli,Anureet Singh,0,0,0,0,0,,,,,Royal Challengers Bangalore,Kings XI Punjab
82787,598024,2,5,1,V Sehwag,DPMD Jayawardene,SL Malinga,0,0,0,0,0,,,,,Delhi Daredevils,Mumbai Indians
79042,598009,1,17,7,BJ Hodge,JP Faulkner,B Kumar,4,0,4,0,0,,,,,Rajasthan Royals,Pune Warriors
142124,1082614,1,7,2,N Rana,RG Sharma,PJ Cummins,0,0,0,0,1,caught,N Rana,CJ Anderson,,Mumbai Indians,Delhi Daredevils
13328,336040,1,1,6,PA Patel,S Vidyut,SR Watson,4,0,4,0,0,,,,,Chennai Super Kings,Rajasthan Royals
